ID,Date,Issue,Title,Page Link,Download Link,EPRA/Energy Act
65,11/24/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 81,https://new.kenyalaw.org/akn/ke/officialGazette/2006-11-24/81/eng@2006-11-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-11-24/81/eng@2006-11-24/source,
66,11/24/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 82,https://new.kenyalaw.org/akn/ke/officialGazette/2006-11-24/82/eng@2006-11-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-11-24/82/eng@2006-11-24/source,
67,12/1/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 83,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-01/83/eng@2006-12-01,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-01/83/eng@2006-12-01/source,
68,12/1/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 84,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-01/84/eng@2006-12-01,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-01/84/eng@2006-12-01/source,
69,12/8/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 85,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-08/85/eng@2006-12-08,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-08/85/eng@2006-12-08/source,
70,12/12/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 86,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-12/86/eng@2006-12-12,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-12/86/eng@2006-12-12/source,
71,12/22/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 88,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-22/88/eng@2006-12-22,https://new.kenyalaw.org/akn/ke/officialGazette/2006-12-22/88/eng@2006-12-22/source,
72,1/5/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 1,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-05/1/eng@2007-01-05,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-05/1/eng@2007-01-05/source,
73,1/9/2007,Special Issue,Kenya Gazette Vol. CIX-No. 2,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-09/2/eng@2007-01-09,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-09/2/eng@2007-01-09/source,
74,1/11/2007,Special Issue,Kenya Gazette Vol. CIX-No. 3,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-11/3/eng@2007-01-11,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-11/3/eng@2007-01-11/source,
75,1/12/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 4,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-12/4/eng@2007-01-12,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-12/4/eng@2007-01-12/source,The Energy Act
76,1/12/2007,Special Issue,Kenya Gazette Vol. CIX-No. 5,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-12/5/eng@2007-01-12,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-12/5/eng@2007-01-12/source,
77,1/12/2007,Special Issue,Kenya Gazette Vol. CIX-No. 6,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-12/6/eng@2007-01-12,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-12/6/eng@2007-01-12/source,
78,1/19/2007,Special Issue,Kenya Gazette Vol. CIX-No. 7,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-19/7/eng@2007-01-19,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-19/7/eng@2007-01-19/source,
79,1/26/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 8,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-26/8/eng@2007-01-26,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-26/8/eng@2007-01-26/source,
80,1/26/2007,Special Issue,Kenya Gazette Vol. CIX-No. 9,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-26/9/eng@2007-01-26,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-26/9/eng@2007-01-26/source,
81,1/31/2007,Special Issue,Kenya Gazette Vol. CIX-No. 10,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-31/10/eng@2007-01-31,https://new.kenyalaw.org/akn/ke/officialGazette/2007-01-31/10/eng@2007-01-31/source,
82,2/2/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 11,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-02/11/eng@2007-02-02,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-02/11/eng@2007-02-02/source,
83,2/9/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 12,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-09/12/eng@2007-02-09,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-09/12/eng@2007-02-09/source,
84,2/16/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 13,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-16/13/eng@2007-02-16,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-16/13/eng@2007-02-16/source,
85,2/16/2007,Special Issue,Kenya Gazette Vol. CIX-No. 14,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-16/14/eng@2007-02-16,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-16/14/eng@2007-02-16/source,
86,2/19/2007,Special Issue,Kenya Gazette Vol. CIX-No. 15,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-19/15/eng@2007-02-19,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-19/15/eng@2007-02-19/source,
87,2/23/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 16,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-23/16/eng@2007-02-23,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-23/16/eng@2007-02-23/source,
88,2/23/2007,Special Issue,Kenya Gazette Vol. CIX-No. 17,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-23/17/eng@2007-02-23,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-23/17/eng@2007-02-23/source,
89,2/23/2007,Special Issue,Kenya Gazette Vol. CIX-No. 18,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-23/18/eng@2007-02-23,https://new.kenyalaw.org/akn/ke/officialGazette/2007-02-23/18/eng@2007-02-23/source,
90,3/2/2007,Weekly Issue,Kenya Gazette Vol. CIX-No. 19,https://new.kenyalaw.org/akn/ke/officialGazette/2007-03-02/19/eng@2007-03-02,https://new.kenyalaw.org/akn/ke/officialGazette/2007-03-02/19/eng@2007-03-02/source,
